Drainage,Status,BlockingSleeper,PipeAxis_deg,SleeperAxis_deg,AngleDiff_deg,CurrentClearance_mm,MoveDirection,RequiredOffset_mm,FinalClearance_mm
7462A,CLEAR,68387,-154.836,25.15,0.015,62.6,NONE,0.0,62.6
7462B,CLEAR,6837E,-154.448,25.537,0.014,69.0,NONE,0.0,69.0
7462C,CLEAR,68375,-154.061,25.925,0.015,61.7,NONE,0.0,61.7
7462D,CLEAR,6836C,-153.673,26.312,0.015,78.2,NONE,0.0,78.2
7462E,CLEAR,68363,-153.286,26.699,0.015,84.3,NONE,0.0,84.3
7462F,CLEAR,6835A,-152.898,27.087,0.015,82.8,NONE,0.0,82.8
74630,MOVE,68351,-152.511,27.474,0.015,-31.5,-Normal,175.0,7.3
74631,CLEAR,68348,-152.123,27.861,0.016,70.6,NONE,0.0,70.6
74632,CLEAR,6833F,-151.736,28.249,0.015,73.1,NONE,0.0,73.1
74633,CLEAR,68336,-151.348,28.636,0.016,68.7,NONE,0.0,68.7
74634,CLEAR,6832D,-150.961,29.023,0.016,59.4,NONE,0.0,59.4
74635,CLEAR,68324,-150.573,29.411,0.016,66.1,NONE,0.0,66.1
74636,CLEAR,6831B,-150.186,29.798,0.016,84.5,NONE,0.0,84.5
74637,CLEAR,68313,-149.798,30.142,0.059,89.1,NONE,0.0,89.1
74638,CLEAR,68309,-149.411,30.573,0.017,81.6,NONE,0.0,81.6
74639,CLEAR,68300,-149.023,30.961,0.016,80.0,NONE,0.0,80.0
7463A,CLEAR,682F7,-148.654,31.328,0.018,73.2,NONE,0.0,73.2
7463B,CLEAR,682EE,-148.35,31.632,0.018,83.0,NONE,0.0,83.0
7463C,CLEAR,682E5,-148.093,31.888,0.018,77.5,NONE,0.0,77.5
7463D,CLEAR,682DC,-147.84,32.142,0.018,73.7,NONE,0.0,73.7
7463E,CLEAR,682D3,-147.691,32.291,0.018,74.9,NONE,0.0,74.9
7463F,CLEAR,682CA,-147.59,32.392,0.018,77.9,NONE,0.0,77.9
74640,CLEAR,682C1,-147.536,32.446,0.018,72.8,NONE,0.0,72.8
74641,CLEAR,682B8,-147.527,32.455,0.018,64.0,NONE,0.0,64.0
74642,CLEAR,682AF,-147.527,32.455,0.018,85.1,NONE,0.0,85.1
74643,CLEAR,682A6,-147.527,32.455,0.018,76.4,NONE,0.0,76.4
74644,CLEAR,6829D,-147.527,32.455,0.018,72.2,NONE,0.0,72.2
74645,CLEAR,68294,-147.527,32.455,0.018,76.3,NONE,0.0,76.3
74646,CLEAR,6828B,-147.527,32.455,0.018,54.9,NONE,0.0,54.9
74647,CLEAR,68282,-147.527,32.455,0.018,75.4,NONE,0.0,75.4
74648,CLEAR,68279,-147.527,32.455,0.018,79.9,NONE,0.0,79.9
74649,CLEAR,68270,-147.527,32.455,0.018,84.3,NONE,0.0,84.3
7464A,CLEAR,68268,-147.527,32.455,0.018,92.7,NONE,0.0,92.7
7464B,CLEAR,6825E,-147.527,32.455,0.018,69.1,NONE,0.0,69.1
7464C,CLEAR,68255,-147.527,32.455,0.018,73.3,NONE,0.0,73.3
7464D,CLEAR,6824C,-147.527,32.455,0.018,84.0,NONE,0.0,84.0
7464E,CLEAR,68243,-147.527,32.455,0.018,80.6,NONE,0.0,80.6
7464F,CLEAR,6823A,-147.527,32.455,0.018,74.9,NONE,0.0,74.9
74650,CLEAR,68232,-147.527,32.455,0.018,87.6,NONE,0.0,87.6
74651,CLEAR,68229,-147.527,32.455,0.018,77.3,NONE,0.0,77.3
74652,CLEAR,68220,-147.527,32.455,0.018,83.2,NONE,0.0,83.2
74653,CLEAR,68216,-147.527,32.455,0.018,95.8,NONE,0.0,95.8
74654,CLEAR,6820E,-147.527,32.455,0.018,90.5,NONE,0.0,90.5
74655,CLEAR,68205,-147.527,32.455,0.018,88.4,NONE,0.0,88.4
74656,CLEAR,681FB,-147.527,32.455,0.018,72.0,NONE,0.0,72.0
74657,CLEAR,681F3,-147.527,32.455,0.018,82.9,NONE,0.0,82.9
74658,CLEAR,681EA,-147.527,32.455,0.018,84.0,NONE,0.0,84.0
74659,CLEAR,681E0,-147.527,32.455,0.018,74.4,NONE,0.0,74.4
7465A,CLEAR,681D8,-147.527,32.455,0.018,85.3,NONE,0.0,85.3
7465B,CLEAR,681CF,-147.527,32.455,0.018,89.4,NONE,0.0,89.4
7465C,CLEAR,681C6,-147.527,32.455,0.018,78.6,NONE,0.0,78.6
7465D,CLEAR,681BC,-147.527,32.455,0.018,79.0,NONE,0.0,79.0
7465E,CLEAR,681B3,-147.527,32.455,0.018,86.7,NONE,0.0,86.7
7465F,CLEAR,681AA,-147.527,32.455,0.018,60.1,NONE,0.0,60.1
